abandon: abandoned,abandons
abbots: abbots
aberdeen: aberdeen
abhorrent: abhorrent
abide: abide,abiding
abjure: abjure
abnormal: abnormal
abnormally: abnormally
abode: abode
abominable: abominable
abomination: abomination
abound: abound
abrupt: abrupt
abruptly: abruptly
absence: absence
absent: absent
absolute: absolute
absolutely: absolutely
absolve: absolved
absorb: absorb,absorbed
absorbing: absorbing
abstract: abstracted
abstracted: abstracted
absurd: absurd
absurdly: absurdly
abuse: abuse
abusive: abusive
abut: abutted
accent: accent
accept: accept,accepted,accepting
acceptance: acceptance
access: access,accessed
accessible: accessible
accessory: accessory
accident: accident,accidents
accidental: accidental
accommodate: accommodate
accompany: accompanied,accompany,accompanying
accompli: accompli
accomplice: accomplice
accomplish: accomplish,accomplished
accomplishment: accomplishment,accomplishments
account: account,accounts
accountant: accountant
accumulate: accumulated
accumulation: accumulation
accurate: accurate
accurately: accurately
accuse: accused
accuser: accuser
accustom: accustomed
accustomed: accustomed
acetone: acetones
achieve: achieved
acid: acid
acknowledge: acknowledge,acknowledges
acquaintance: acquaintance
acquiesce: acquiesce
acquire: acquire,acquired
acquirement: acquirement
acquit: acquitted
acre: acres
acting: acting
action: action,actions
actionable: actionable
active: active
activity: activity
actor: actor
actress: actress
actual: actual
acute: acute
adapt: adapt,adapted
add: add,adding,adds
adder: adder
addict: addicted
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adhesive: adhesive
adjective: adjective
adjust: adjusted
administration: administration
admirable: admirable
admirably: admirably
admiration: admiration
admire: admire,admiring
admirer: admirers
admit: admit,admitted
ado: ado
advance: advance,advanced,advancing
advantage: advantage,advantages
adventure: adventure,adventures
adventures: adventures
adventuress: adventuress
advertise: advertise,advertised,advertising
advertisement: advertisement,advertisements
advertising: advertising
advice: advice
advise: advise,advised
adviser: adviser
advocate: advocate
affair: affair,affairs
affaire: affaire
affairs: affairs
affect: affect
affectation: affectation
affection: affection,affections
affectionate: affectionate
affliction: affliction
afford: afford,afforded
afghan: afghan
afghanistan: afghanistan
afraid: afraid
afternoon: afternoon
age: age
aged: aged
agency: agency
agent: agent
agitate: agitated
agitated: agitated
agitation: agitation
agony: agonies,agony
agra: agra
agree: agree,agreed,agrees
agreement: agreement
agricultural: agricultural
aid: aid,aided
air: air
aisle: aisle
ajar: ajar
akimbo: akimbo
akin: akin
alarm: alarm
alas: alas
albert: albert
alert: alert
alexander: alexander
alias: alias
alice: alice
alicia: alicia
alike: alike
alive: alive
allege: alleging
allegro: allegro
alley: alley,alleys
alliance: alliance
allowance: allowance
allude: allude,alluded
allusion: allusion,allusions
ally: allied,ally
aloud: aloud
aloysius: aloysius
alpha: alpha
altar: altar
alter: alter,altered
alteration: alteration,alterations
alternate: alternate,alternating
alternately: alternately
alternation: alternation
altogether: altogether
amalgam: amalgam
amateur: amateur
amazement: amazement
amazing: amazing
ambition: ambition
ambitious: ambitious
america: america
american: american,americans
amethyst: amethyst
amiable: amiable
amiss: amiss
amoy: amoy
ample: ample
amplify: amplifying
amply: amply
amuse: amuse,amused
amused: amused
amusement: amusement
amusing: amusing
analysis: analysis
analytical: analytical
anatomy: anatomy
ancestral: ancestral
ancient: ancient
anderson: anderson
angel: angel
anger: anger
angle: angle
angry: angry
animal: animal,animals
animate: animated
animated: animated
ankle: ankles
announcement: announcement
annoyance: annoyance
annoyed: annoyed
annual: annual
anoint: anoints
anonymous: anonymous
answer: answer,answered,answering,answers
antagonist: antagonist
antecedent: antecedents
anteroom: anteroom
antic: antics
anxiety: anxiety
anxious: anxious
anxiously: anxiously
apache: apache
apaches: apaches
apartment: apartment
aperture: aperture
apiece: apiece
apologise: apologise
apology: apology
apparel: apparelled
apparent: apparent
apparition: apparition
appeal: appeal,appeals
appearance: appearance
applicable: applicable
applicant: applicant
apply: apply,applying
appointment: appointment
apprentice: apprenticed
approach: approach,approached,approaching
approvingly: approvingly
april: april
aproned: aproned
apt: apt
aquiline: aquiline
arabian: arabian
arc: arc
archery: archery
archie: archie
architect: architects
architecture: architecture
archive: archive
arduous: arduous
argue: argue
argument: argument,arguments
aright: aright
aristocratic: aristocratic
arizona: arizona
arm: arm,arms
armchair: armchair,armchairs
armed: armed
armour: armour
army: army
arouse: aroused
arrange: arrange,arranged
arrangement: arrangements
array: array
arrest: arrest,arrested,arresting
arrival: arrival
arrive: arrive,arrived
arrow: arrows
art: art
artery: arteries
arthur: arthur
article: article,articles
artificial: artificial
artillery: artillery
artist: artist
artistic: artistic
ascend: ascend,ascended
ascertain: ascertain,ascertained,ascertaining
ascii: ascii
ash: ash,ashes
ashamed: ashamed
ashen: ashen
askance: askance
asleep: asleep
aspect: aspect
aspire: aspired
assailant: assailants
assault: assault,assaulted
assemble: assembled
assert: assert,asserted
assertion: assertion
assist: assist,assisted,assisting
assistance: assistance
assistant: assistant,assistants
assizes: assizes
associate: associate
association: association
assume: assume,assumed
assurance: assurance
assure: assure,assured,assures,assuring
assuredly: assuredly
astir: astir
astonished: astonished
astonishment: astonishment
astrakhan: astrakhan
astronomy: astronomy
astute: astute
astuteness: astuteness
asylum: asylum
atlantic: atlantic
atmosphere: atmosphere
atone: atone
attach: attached
attack: attack,attacked
attain: attain,attained
attainment: attainments
attempt: attempt,attempted,attempting,attempts
attend: attend,attended
attendant: attendant
attention: attention,attentions
attic: attic,attics
attire: attired
attitude: attitude
attract: attract,attracted
attraction: attractions
auckland: auckland
audible: audible
august: august
augustine: augustine
aunt: aunt
australia: australia
australian: australian,australians
authenticity: authenticity
author: author
authoritative: authoritative
authority: authorities,authority
autumn: autumn
autumnal: autumnal
avail: avail
avenue: avenue
average: average
averse: averse
aversion: aversion
avert: avert,averted
avoid: avoid,avoided,avoiding
await: await,awaited,awaiting
awake: awake,awoke
awaken: awakened
aware: aware
awful: awful
awkward: awkward
axiom: axiom
ay: ay
azure: azure
baboon: baboon
baby: baby
bachelor: bachelor,bachelors
backgammon: backgammon
background: background
backwater: backwater
bad: bad,worse,worst
badge: badge
badly: badly
baffle: baffled
bag: bag,bags
baggy: baggy
bait: baits
baker: baker,bakers
balance: balance,balancing
balanced: balanced
bald: bald
baleful: baleful
ball: ball,balls
balmoral: balmoral
balustraded: balustraded
band: band,bands
bandage: bandage,bandaged,bandages
bandy: bandy
bang: bang,banged
bank: bank,banks
banker: banker,bankers
banking: banking
bar: bar,barred,bars
barbaric: barbaric
barber: barber
bare: bare
bargain: bargain
bark: bark
barmaid: barmaid
barometric: barometric
barque: barque
barrel: barrel
barricade: barricade,barricaded
barrow: barrow
barton: barton
baryta: baryta
base: base,based
bashful: bashful
basin: basin
basis: basis
basket: basket
basketful: basketful
bath: bath
bathroom: bathroom
battered: battered
battle: battle
baxter: baxter
baying: baying
bead: beads
beam: beam,beamed
bean: bean
bear: bear,bearing,bears,bore,born,borne
beard: beard
bearded: bearded
bearing: bearing,bearings
beast: beast,beasts
beat: beat,beaten,beating
beautiful: beautiful
beautifully: beautifully
beauty: beauties,beauty
becher: becher
beckon: beckoned,beckoning
bed: bed,beds
bedded: bedded
bedroom: bedroom,bedrooms
bedside: bedside
bedtime: bedtime
bee: bee
beech: beech,beeches
beef: beef
beer: beer
befall: befall,befallen
beg: beg,begged,begging
beget: beget
beggar: beggar
beggarman: beggarman
beggary: beggary
beige: beige
belated: belated
belief: belief
bell: bell
belong: belonged,belonging,belongs
beloved: beloved
belt: belt
bend: bend,bending,bent
beneath: beneath
benefactor: benefactor
benevolent: benevolent
bengal: bengal
bent: bent
bequeath: bequeathed
bequest: bequest
berkshire: berkshire
bermuda: bermuda
berth: berth,berths
beryl: beryl,beryls
bet: bet
betray: betray,betrayed,betraying
betrothal: betrothal
bewilderment: bewilderment
bible: bible
bicycling: bicycling
bid: bade
bijou: bijou
bile: bile
billet: billet
billycock: billycock
binary: binary
bind: bind,binding,bound
biography: biographies,biography
bird: bird,birds
bisulphate: bisulphate
bit: bit
bite: bit,bite,bitten
bitter: bitter
bitterly: bitterly
bitterness: bitterness
bizarre: bizarre
black: black,blackest
blackguard: blackguard
blackmail: blackmailing
blacksmith: blacksmith
blame: blame
blanch: blanched
blanche: blanche
bland: bland
blandly: blandly
blast: blasted
blaze: blaze,blazing
bleak: bleak
bleed: bled,bleeding
bleeding: bleeding
blend: blend
bless: bless
blind: blind,blinds
blink: blinked
bloc: bloc
block: block,blocked
blockade: blockaded
blonde: blonde
blood: blood
blooded: blooded
bloodless: bloodless
bloodstain: bloodstains
bloody: bloody
bloomsbury: bloomsbury
blot: blot,blotted
blotch: blotched,blotches
blotting: blotting
blow: blew,blow,blowing,blown,blows
blowing: blowing
blue: blue
bluff: bluff
blunder: blundering,blunders
blunt: blunt
blur: blur,blurs
blush: blush
bluster: bluster
boa: boa
board: board,boards
boarding: boarding
boast: boasting
boat: boat
bob: bob
bode: bodes
body: bodies,body
bohemia: bohemia
bohemian: bohemian
boil: boiling
boisterous: boisterous
bold: bold
bolt: bolted
bond: bond
bone: bone,bones
bonnet: bonnet
bonny: bonniest,bonny
book: book,books
boom: boomed
boone: boone
boot: boot,booted,boots
bordeaux: bordeaux
border: border,bordered,borders
bore: bored
bored: bored
borrow: borrow,borrowed
bosom: bosom
boswell: boswell
botany: botany
bottle: bottle,bottles
bound: bound,bounded,bounds
boundary: boundary
bouquet: bouquet
bow: bow,bowed,bowing
bowl: bowls
box: box,boxed,boxes
boxer: boxer
boy: boy,boys
boyish: boyish
brace: brace,braced
bracelet: bracelets
bradshaw: bradshaw
brain: brain,brains
bramble: bramble
branch: branch,branches
brand: branded
brandy: brandy
brass: brass
brassy: brassy
brave: brave,braved,braving
brawl: brawls
brazen: brazen
brazier: brazier
breach: breach,breaches
bread: bread
breadth: breadth
break: break,breaking,breaks,broke,broken
breakfast: breakfast,breakfasts
breaking: breaking
breast: breast
breasted: breasted
breastpin: breastpin
breath: breath
