abandon: abandon,abandoned,abandons
abbot: abbot
abel: abel
abide: abide,abides
abode: abode
abraham: abraham
absalom: absalom
absence: absence
absolutely: absolutely
absolve: absolve,absolved,absolves
abstract: abstract
abstraction: abstraction,abstractions
abundant: abundant
abyss: abyss
accent: accents
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accidie: accidie
accompany: accompanied,accompanies,accompany
accomplish: accomplished
accord: accord
account: account
accountability: accountability
accumulate: accumulating
accurse: accursed
accursed: accursed
accusation: accusations
accuse: accused,accuses
accustom: accustom
acedia: acedia
acheron: acheron
achilles: achilles
acre: acre
action: action
active: active
actual: actual
actuality: actuality
adam: adam
add: adding
addition: addition,additions
additional: additional
address: address,addressed,addresses,addressing
adequate: adequate
adjudge: adjudged
adjust: adjusts
admirable: admirable
admit: admit
admonish: admonished
adorn: adorn,adorns
adornment: adornments
adultery: adultery
advance: advance,advances
advanced: advanced
advantage: advantage
adversary: adversaries,adversary
adverse: adverse
advice: advice
aeneas: aeneas
aeneid: aeneid
aesop: aesop
afar: afar
affect: affect
affection: affection
affirm: affirmed,affirming
afflict: afflicted,afflicts
afford: afford,affords
affright: affrighted
affront: affront
aforesaid: aforesaid
afraid: afraid
afterward: afterward
age: age,ages
aged: aged
agent: agent
ages: ages
agnel: agnel
agree: agree,agreed,agreeing
agreement: agreement
aid: aid,aided
aids: aids
ail: ails
aim: aim
air: air,airing
alas: alas
albert: albert
alchemy: alchemy
alert: alert
alexander: alexander
alichino: alichino
alike: alike
alive: alive
allegorical: allegorical
allegorically: allegorically
allegorize: allegorizing
allegory: allegory
alleluiah: alleluiah
alleviate: alleviate
allot: allotted
alloy: alloy
allure: allure
alp: alp,alps
alteration: alteration
alternate: alternate
alway: alway
ambush: ambush
amen: amen
amend: amends
amiss: amiss
amor: amor
amphion: amphion
ample: ample
amplitude: amplitude
anastasius: anastasius
ancestor: ancestors
anchises: anchises
anchor: anchor
ancient: ancient
ancients: ancients
andrea: andrea
anew: anew
angel: angels
angelic: angelic
angelo: angelo
angels: angels
anger: anger
angrily: angrily
anguish: anguish
animal: animal,animals
anjou: anjou
annas: annas
announcement: announcement
annoy: annoy
annual: annual
anon: anon
anselm: anselm
answer: answer,answered,answering,answers
ant: ants
antaeus: antaeus
anticipated: anticipated
antipodal: antipodal
antique: antique
ape: ape
apennine: apennine
apennines: apennines
apex: apex
apocalypse: apocalypse
apparent: apparent
appease: appeased
appetite: appetite
applicable: applicable
application: application
apply: applies,apply
appoint: appointed
apprehend: apprehended
apprehensive: apprehensive
approach: approach,approached,approaches
