abate: abate,abated
abbot: abbot
abet: abet
abhor: abhor,abhorred,abhorring
abhorrence: abhorrence
abide: abide
ability: abilities
abject: abject
ablest: ablest
aboard: aboard
abode: abode
abolish: abolishing
abominable: abominable
abominate: abominate
aborigine: aborigines
abortive: abortive
abound: abound,abounded,abounding
abraham: abraham
abreast: abreast
absence: absence,absences
absent: absent
absolute: absolute
absolutely: absolutely
absorb: absorbed
abstinence: abstinence
abstract: abstract
abstracted: abstracted
abstraction: abstractions
absurd: absurd
absurdity: absurdities,absurdity
abundance: abundance
abuse: abused,abuses,abusing
academy: academy
accent: accent
accept: accept,accepted,accepting
access: access,accessed
accessible: accessible
accident: accident,accidents
accidental: accidental
accidentally: accidentally
accommodate: accommodated
accompany: accompanied,accompany
accomplished: accomplished
account: account,accounts
accusation: accusations
accuse: accuse,accused,accusing
accuser: accuser,accusers
accustom: accustom,accustomed
ache: ache
achievement: achievements
acknowledge: acknowledge,acknowledged
acknowledgement: acknowledgements
acknowledgment: acknowledgment,acknowledgments
acorn: acorns
acoustic: acoustics
acquaint: acquainted
acquaintance: acquaintance
acquire: acquire,acquired,acquires,acquiring
acquirement: acquirements
acquit: acquitted
acre: acre,acres
acrostic: acrostics
action: action,actions
actium: actium
active: active
activity: activity
actual: actual
acute: acute
acuteness: acuteness
adamant: adamant
adamantine: adamantine
adapt: adapted
add: add,adding
addition: addition,additions
additional: additional
address: address,addressed,addresses
adhere: adhere
adjoin: adjoining
adjoining: adjoining
adjourn: adjourn
adjust: adjust,adjusting
administer: administer
administration: administration
admirable: admirable
admirably: admirably
admiral: admiral
admiration: admiration
admire: admire,admired,admiring
admirer: admirer
admit: admit,admitted
admittance: admittance
ado: ado
adore: adored
adorn: adorn,adorned
adrift: adrift
advance: advance,advanced,advancing
advanced: advanced
advancement: advancement,advancements
advancer: advancers
advantage: advantage,advantages
advantageous: advantageous
adventitious: adventitious
adventure: adventure,adventures
adventurer: adventurer
adversary: adversary
advice: advice
advisable: advisable
advise: advise,advised,advising
advocate: advocate,advocates
affair: affair,affairs
affect: affect
affectation: affectation
affection: affection
affirm: affirm,affirmed
affirmative: affirmative
afflict: afflict,afflicted
afford: afford,afforded,affords
aforesaid: aforesaid
afraid: afraid
aft: aft
afternoon: afternoon
afterward: afterward
age: age,ages
aged: aged
agent: agent
aggravate: aggravate,aggravated
aggravation: aggravation
agility: agility
agitate: agitated
agitation: agitation
agony: agonies
agree: agree,agreed
agreeable: agreeable
agreeably: agreeably
agreement: agreement
agriculture: agriculture
ague: ague
aid: aid,aiding
ail: ail
aim: aim,aimed
air: air,aired
airy: airy
alacrity: alacrity
alarm: alarmed
alban: alban
alcoran: alcoran
ale: ale
alexander: alexander
alight: alight,alighted
alighting: alighting
alive: alive
allege: allege,alleged,alleging
alley: alleys
alliance: alliance
allot: allotted
allowance: allowance,allowances
allure: allured
allusion: allusion
ally: ally
aloft: aloft
aloud: aloud
alphabet: alphabet
alphabetical: alphabetical
alps: alps
alter: alter,altered
alteration: alteration
altered: altered
alternate: alternate
altitude: altitude
altogether: altogether
amazed: amazed
amazement: amazement
ambassador: ambassador,ambassadors
ambition: ambition
amboyna: amboyna
amendment: amendment
america: america
american: americans
amiable: amiable
amiss: amiss
amity: amity
ample: ample
amply: amply
amsterdam: amsterdam
amuse: amuse
amusement: amusement,amusements
anagram: anagrams
anagrammatic: anagrammatic
analogy: analogy
analyse: analysed
ancestor: ancestor,ancestors
anchor: anchor,anchors
ancient: ancient,ancients
anecdote: anecdotes
anger: anger,angered
angle: angle,angles
angling: angling
angry: angry
animal: animal,animals
animosity: animosities
anne: anne
annex: annexed
annihilate: annihilated
annoying: annoying
annual: annual
answer: answer,answered,answering,answers
answerable: answerable
answerers: answerers
ant: ant,ants
antechamber: antechamber
antelope: antelope
anterior: anterior
antic: antic
anticipate: anticipate
antipathy: antipathy
antiquity: antiquity
antony: antony
anus: anus
apartment: apartment,apartments
apology: apologies
apothecary: apothecaries
apparent: apparent
appeal: appeal,appealed
appearance: appearance,appearances
appellation: appellation
appetite: appetite,appetites
applaud: applaud
apple: apple,apples
applicable: applicable
application: application,applications
apply: applied,applies,apply,applying
appoint: appoint,appointed
appointment: appointment
apprehend: apprehend,apprehended
apprehension: apprehension,apprehensions
apprehensive: apprehensive
apprentice: apprentice,apprentices
apprise: apprised
approach: approach,approached,approaches,approaching
approbation: approbation
approve: approve,approved
april: april
